# Linderholm - Angerusjärvi - PISY - ITRDB SWED319
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/6129
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-6129.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swed319r-crn-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; swed319r-crn-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/chronologies/europe/swed319r.crn
#   Related_Online_Description: CRN File; Chronology - Tucson Decadal File
#
#--------------------
# Contribution_Date
#   Date: 2008-06-05
#--------------------
# File_Last_Modified_Date
#   Date: 2008-06-05
#--------------------
# Title
#   Study_Name: Linderholm - Angerusjärvi - PISY - ITRDB SWED319
#--------------------
# Investigators
#   Investigators: Linderholm, H.W.(https://orcid.org/0000-0002-1522-8919)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-19. NOAA Template Raw Measurements file added 2019-02-05.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Angerusjärvi
#   Location: Sweden
#   Northernmost_Latitude: 67.63
#   Southernmost_Latitude: 67.63
#   Easternmost_Longitude: 21.77
#   Westernmost_Longitude: 21.77
#   Elevation_m: 280
#--------------------
# Data_Collection
#   Collection_Name: SWED319
#   First_Year: 1656
#   Last_Year: 1998
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus sylvestris L.
#   Common_Name: Scots pine
#   Tree_Species_Code: PISY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## trsgi	tree ring standardized growth index,,,,,tree ring,composited,standard chronology method,N,
## numsamp	number of samples,,,count,,tree ring,,,N,
#---------------------
# Data:
# Missing_Values: NA
age_CE	trsgi	numsamp
1657	0.682	1
1658	0.917	1
1659	2.095	1
1660	1.167	1
1661	0.79	1
1662	0.405	1
1663	0.986	1
1664	1.073	1
1665	1.498	1
1666	0.943	1
1667	0.677	1
1668	1.591	1
1669	1.034	1
1670	1.195	1
1671	1.141	1
1672	0.503	1
1673	0.855	1
1674	0.822	1
1675	0.816	1
1676	0.959	1
1677	1.206	1
1678	0.963	1
1679	1.048	1
1680	0.467	1
1681	1.179	1
1682	1.137	1
1683	1.189	1
1684	0.988	1
1685	0.975	1
1686	1.125	1
1687	1.287	1
1688	0.211	1
1689	1.747	1
1690	0.454	1
1691	1.651	1
1692	1.341	1
1693	1.546	1
1694	1.465	1
1695	1.815	1
1696	0.562	1
1697	1.17	1
1698	0.617	1
1699	0.618	1
1700	0.894	1
1701	0.596	1
1702	0.505	1
1703	1.025	1
1704	0.84	1
1705	1.133	1
1706	0.744	1
1707	1.042	1
1708	0.444	1
1709	0.801	1
1710	0.888	1
1711	1.04	1
1712	0.743	1
1713	0.931	1
1714	0.776	1
1715	0.931	1
1716	0.908	1
1717	0.785	1
1718	0.941	1
1719	0.653	1
1720	0.733	1
1721	1.194	1
1722	0.63	1
1723	0.873	1
1724	0.71	1
1725	0.724	1
1726	1.299	1
1727	0.695	1
1728	0.647	1
1729	1.307	1
1730	0.88	1
1731	1.237	1
1732	0.943	1
1733	1.936	1
1734	0.154	1
1735	1.267	1
1736	1.961	1
1737	1.582	1
1738	2.118	1
1739	1.299	1
1740	0.152	1
1741	0.465	1
1742	1.396	1
1743	0.707	1
1744	1.286	1
1745	0.911	1
1746	1.241	1
1747	0.492	1
1748	0.937	1
1749	0.685	1
1750	1.127	1
1751	1.396	1
1752	1.147	1
1753	1.135	1
1754	1.747	1
1755	1.095	1
1756	0.086	1
1757	1.079	1
1758	0.591	1
1759	1.091	1
1760	1.968	1
1761	1.071	1
1762	1.495	1
1763	1.956	1
1764	0.576	1
1765	0.278	1
1766	1.54	1
1767	1.12	1
1768	0.844	1
1769	0.193	1
1770	0.955	1
1771	0.98	1
1772	0.728	1
1773	1.103	1
1774	0.918	1
1775	1.579	1
1776	0.936	1
1777	1.008	1
1778	1.35	1
1779	0.97	1
1780	0.622	1
1781	0.478	1
1782	1.522	1
1783	0.906	1
1784	0.952	1
1785	1.262	1
1786	1.046	1
1787	0.728	1
1788	1.042	1
1789	1.237	1
1790	0.834	1
1791	0.677	1
1792	1.241	1
1793	0.783	1
1794	1.112	2
1795	0.926	2
1796	0.71	2
1797	0.98	2
1798	0.764	2
1799	1.164	2
1800	0.75	2
1801	1.171	2
1802	0.777	2
1803	0.787	2
1804	1.087	2
1805	0.941	2
1806	0.646	2
1807	1.288	2
1808	1.08	2
1809	1.609	2
1810	1.192	2
1811	1.172	2
1812	0.745	2
1813	0.912	2
1814	1.324	2
1815	0.975	2
1816	1.358	2
1817	1.427	2
1818	0.99	2
1819	0.136	2
1820	1.218	2
1821	0.98	2
1822	0.509	2
1823	1.07	2
1824	0.856	2
1825	0.676	2
1826	0.997	2
1827	1.538	2
1828	0.795	3
1829	1.619	3
1830	0.858	3
1831	1.024	3
1832	0.637	3
1833	0.971	3
1834	1.067	3
1835	1.169	3
1836	1.008	3
1837	0.485	3
1838	1.063	3
1839	0.916	3
1840	1.017	3
1841	0.89	3
1842	1.029	4
1843	0.958	4
1844	1.188	4
